E Win Num 1,E Win Num 2,E Win Num 3,E Win Num 4,E Win Num 5
5,11,26,35,36
2,11,28,30,33
2,6,14,15,30
9,16,19,21,25
22,31,32,36,38
3,9,12,15,32
7,10,29,32,35
8,9,11,19,39
11,13,23,33,36
8,10,20,21,36
2,7,17,18,27
3,6,8,22,26
6,16,22,23,33
16,17,24,27,35
6,9,13,15,19
8,13,15,18,35
5,6,13,19,26
12,30,35,37,39
13,18,22,23,28
2,13,25,29,32
2,8,11,19,22
3,9,15,20,25
11,17,23,34,36
7,16,19,22,27
9,25,32,33,34
1,3,23,29,31
4,8,9,13,32
5,7,9,16,31
11,15,25,26,39
5,12,26,29,35
18,20,28,31,32
1,13,19,20,35
2,8,10,18,24
1,22,33,34,36
4,17,21,27,29
11,13,15,23,25
2,10,13,20,21
9,10,12,32,37
3,5,8,17,30
5,14,22,25,27
2,20,21,24,37
19,23,27,29,38
7,10,22,29,30
5,12,17,26,30
4,9,31,33,34
9,12,19,26,38
4,14,16,27,37
3,11,21,30,32
1,13,15,18,29
15,18,19,24,29
14,16,21,23,38
8,10,24,27,36
5,8,16,25,27
4,15,17,27,30
8,25,30,31,37
12,21,32,34,39
6,14,16,26,27
4,10,32,34,37
3,7,16,34,39
1,8,12,14,21
7,12,15,18,33
4,18,19,20,24
9,10,28,30,39
13,17,24,28,36
6,13,15,30,35
8,10,12,17,31
3,6,19,32,39
1,14,25,26,38
5,11,16,21,31
10,19,20,27,37
10,20,29,31,38
3,5,6,12,20
11,20,32,37,38
3,22,31,32,39
10,11,12,17,35
3,17,29,31,35
15,19,27,34,39
13,20,23,32,38
13,18,23,28,30
4,7,9,13,29
8,12,19,24,26
7,22,25,35,36
3,28,31,32,34
3,7,15,36,39
2,14,22,29,39
1,8,28,35,38
11,12,26,30,33
5,9,25,26,33
6,12,26,28,31
2,3,13,15,19
5,10,11,23,35
1,3,5,34,35
10,19,23,29,39
6,8,18,21,31
8,11,12,16,26
15,19,25,36,39
13,15,24,27,29
5,7,24,30,39
1,4,33,34,38
5,8,12,17,38
18,19,23,24,39
4,6,19,22,33
20,21,22,29,38
2,3,6,7,39
6,10,14,35,38
5,13,19,29,33
4,14,18,19,21
7,17,33,38,39
16,18,21,22,37
6,12,30,33,34
5,21,27,31,38
3,5,17,23,26
8,21,32,37,38
3,18,22,29,34
8,9,15,16,21
6,11,15,31,36
2,10,28,32,33
3,8,15,17,27
1,7,9,18,39
5,8,10,18,31
5,6,18,21,35
4,6,7,19,28
4,15,16,21,35
7,8,12,25,27
13,15,19,20,32
9,20,26,32,33
3,23,28,29,36
4,9,11,23,34
14,20,30,31,37
4,11,17,18,27
3,21,31,36,37
18,21,32,36,37
10,13,15,18,21
3,11,17,19,24
11,24,28,34,37
1,4,7,23,25
5,6,13,24,37
7,11,20,25,37
5,11,18,29,34
5,7,12,16,25
4,13,26,35,39
11,18,24,25,31
14,15,20,23,24
7,8,11,23,26
7,15,22,31,32
6,15,17,25,37
5,9,10,31,35
1,5,13,18,37
8,12,16,24,29
6,21,29,33,39
3,9,17,21,23
11,16,19,31,35
17,23,27,30,39
12,26,30,36,39
1,3,7,13,21
15,24,26,28,32
2,11,23,28,30
3,10,13,14,20
9,10,14,15,19
4,22,29,34,36
19,20,21,33,37
7,11,15,16,28
9,12,26,33,37
17,21,23,30,39
2,6,26,27,30
2,11,14,29,37
4,6,10,33,36
6,8,21,28,31
1,2,10,18,20
3,15,26,29,34
12,20,22,26,31
2,7,16,20,27
11,16,21,27,34
12,16,20,23,29
12,13,21,23,39
1,16,26,31,39
15,29,32,36,38
7,8,9,22,36
3,5,16,21,34
16,31,34,37,38
9,11,15,23,38
3,4,5,31,38
12,17,18,26,30
5,7,10,21,23
7,22,25,26,33
8,23,27,30,34
4,5,6,25,33
4,7,8,20,31
6,8,15,21,38
7,8,14,36,38
3,6,13,27,28
1,12,25,28,30
5,6,8,18,33
8,9,19,24,34
1,7,23,34,35
2,12,17,22,26
3,13,21,29,33
2,4,16,18,27
15,17,19,24,30
18,21,27,37,38
2,5,27,31,34
11,28,29,31,37
7,9,20,26,31
9,19,27,31,33
4,22,28,33,34
10,16,23,26,37
1,14,19,32,38
21,26,29,33,39
9,18,19,27,30
5,10,17,34,35
3,6,7,13,30
6,10,18,23,39
11,12,19,20,22
2,22,26,32,34
4,6,9,22,24
11,32,35,38,39
4,5,17,23,30
8,9,23,28,37
2,6,26,29,38
11,13,25,36,39
4,11,19,26,35
1,6,12,20,34
8,11,20,23,31
7,10,12,14,29
1,6,7,8,13
2,7,17,27,29
3,8,22,32,37
7,25,32,34,36
15,17,22,23,34
1,4,19,24,35
15,22,23,34,36
2,11,19,27,38
5,7,14,17,30
6,10,12,25,30
1,20,27,33,34
6,11,22,31,35
16,24,31,32,39
1,17,22,28,30
6,15,21,26,38
1,7,12,18,24
5,15,16,26,34
12,18,30,31,36
8,17,21,26,27
1,6,14,16,34
1,8,12,28,30
8,23,29,30,32
2,4,11,28,29
13,16,24,28,33
5,13,15,22,29
10,21,29,33,38
1,5,11,13,30
1,10,22,26,28
16,23,25,30,39
6,12,15,31,37
8,20,21,28,34
1,5,10,14,31
11,12,20,21,35
2,22,27,28,30
1,4,28,32,36
11,13,18,20,26
9,11,24,25,32
11,16,20,25,30
4,8,12,28,30
9,14,19,22,26
10,18,36,38,39
8,9,17,20,33
9,15,18,26,33
2,10,17,26,30
5,9,21,23,30
5,6,7,17,27
3,6,22,24,30
6,19,22,32,35
4,11,14,24,35
1,18,19,31,32
8,12,14,26,36
2,8,11,29,37
19,20,25,29,36
6,13,25,29,31
1,18,24,27,37
10,17,20,29,36
3,19,21,23,32
3,13,15,16,19
1,22,23,33,37
1,9,12,18,28
2,14,23,24,29
2,9,16,27,32
5,29,31,34,38
8,14,21,35,39
2,4,21,22,31
1,2,7,25,28
8,27,29,30,31
9,15,21,24,36
11,28,33,36,37
12,15,17,32,35
18,22,30,32,35
5,25,26,29,31
3,8,12,22,24
3,8,13,14,22
12,13,20,21,30
2,7,9,20,24
11,18,23,31,32
5,10,12,18,36
12,21,36,37,39
13,16,27,32,34
1,7,19,34,35
8,29,31,33,37
12,21,24,33,36
3,6,10,19,23
4,5,9,23,26
10,13,18,24,35
3,16,20,27,29
7,20,25,31,37
17,27,30,36,38
1,8,11,19,20
8,23,24,33,38
7,13,14,16,17
2,10,14,21,34
2,3,8,33,38
21,26,29,36,37
2,11,17,28,38
8,15,23,26,34
1,8,23,28,32
8,9,14,25,34
3,11,17,19,27
4,14,15,18,35
2,4,29,33,37
12,18,19,22,25
1,18,26,28,34
12,18,22,24,32
1,3,8,18,38
7,27,34,37,38
2,7,35,36,39
2,7,14,19,29
15,28,29,30,33
12,17,19,28,36
4,20,21,26,35
2,9,16,23,26
8,9,11,26,39
5,10,17,22,35
7,15,18,20,33
6,22,24,29,33
2,8,9,21,35
8,20,21,22,28
3,17,25,33,35
12,15,22,31,34
8,22,25,28,34
3,5,6,16,20
13,21,27,33,36
2,3,6,10,19
3,23,24,29,33
5,15,30,32,34
3,10,14,16,31
1,5,17,35,38
17,19,24,29,38
3,11,19,31,35
5,6,16,17,33
4,12,16,20,24
7,8,27,35,38
17,20,21,27,34
10,16,20,32,36
3,9,19,21,37
3,6,10,13,27
5,6,19,36,37
2,6,7,19,29
4,9,22,25,37
16,18,20,24,36
7,23,27,31,38
3,16,20,22,30
5,6,17,25,31
14,17,20,22,29
9,16,20,31,38
4,8,18,21,26
16,22,28,30,31
1,2,4,11,30
2,3,30,31,36
3,27,30,36,37
8,17,19,20,26
6,22,27,37,39
5,7,14,24,36
7,14,18,30,37
17,22,27,34,35
5,13,21,24,26
15,17,19,35,38
1,7,19,22,31
9,17,24,38,39
8,20,24,27,30
14,16,17,19,31
11,15,30,36,39
4,9,17,26,32
25,30,32,33,39
2,25,26,31,33
8,21,22,25,27
2,19,21,23,34
3,11,17,31,35
5,6,20,25,38
6,9,11,31,39
1,3,6,15,19
6,9,33,37,39
7,13,26,29,35
1,6,7,20,39
23,24,25,37,38
10,17,25,30,34
10,12,13,15,21
1,18,27,33,39
14,15,30,31,35
1,10,18,35,38
9,24,32,35,38
1,21,29,32,37
2,12,19,29,37
9,19,24,27,34
17,20,29,34,36
5,10,13,31,33
2,3,10,18,35
5,7,8,37,38
6,7,14,20,34
6,10,15,21,39
7,26,30,34,38
9,16,23,26,38
7,23,25,32,37
12,16,32,34,35
14,17,27,32,33
8,10,17,19,31
2,24,29,31,37
7,10,15,16,33
5,8,26,33,39
3,9,12,13,22
1,9,12,16,39
3,6,10,14,30
10,11,13,30,31
7,10,12,13,16
3,15,32,35,36
3,5,11,13,24
1,3,10,31,35
2,3,5,17,34
7,13,24,26,28
3,10,13,21,29
5,11,22,25,31
12,19,27,32,35
6,10,16,29,30
5,11,12,23,29
2,7,21,27,36
3,19,26,31,35
14,23,24,31,36
6,7,18,28,33
6,13,20,25,34
7,19,24,31,34
1,3,4,16,21
1,6,10,14,23
4,30,31,37,39
3,19,29,36,38
4,14,15,18,22
10,14,19,21,39
11,12,13,17,29
19,22,29,33,38
14,21,26,33,38
1,3,7,23,31
7,11,13,31,37
4,5,11,12,25
2,12,25,35,38
3,12,33,34,36
11,15,26,28,34
6,7,21,26,36
1,9,14,24,33
9,11,22,32,39
10,12,17,19,23
4,19,27,29,31
4,11,26,29,33
9,10,16,23,30
14,21,24,32,34
3,4,21,26,30
8,13,20,37,39
7,8,13,25,33
2,11,24,36,39
8,20,26,28,37
8,10,16,22,36
2,13,17,21,32
7,12,16,20,30
3,5,6,17,20
8,9,27,29,33
5,33,34,35,38
5,11,25,26,34
4,7,24,34,37
13,24,26,32,37
7,23,27,29,32
2,18,21,23,36
7,9,15,28,32
8,9,20,21,29
12,20,25,28,36
10,14,15,24,37
1,4,20,34,36
6,18,21,25,31
1,10,29,35,36
2,15,27,34,37
1,5,11,22,29
16,18,22,25,34
4,7,12,14,24
15,18,21,23,38
1,17,24,32,39
1,4,6,17,31
10,19,21,24,29
7,13,32,33,34
7,12,13,21,37
1,6,31,35,39
2,3,5,35,39
3,5,16,25,38
4,13,15,23,26
3,20,21,24,39
2,23,30,32,39
11,21,23,33,38
8,10,15,25,28
2,9,14,24,30
4,11,27,28,30
8,17,28,31,33
1,17,20,30,36
2,12,19,30,32
5,24,25,34,39
2,12,22,32,34
1,9,16,19,21
24,26,35,36,37
8,15,28,35,39
3,6,11,21,37
6,18,23,27,28
8,14,27,29,36
6,25,28,32,34
3,8,11,22,33
12,13,19,20,21
9,11,20,30,39
14,23,26,27,30
15,19,31,33,36
20,25,26,34,39
8,12,18,33,34
9,13,17,28,30
11,13,23,24,33
3,8,10,15,16
9,19,25,37,38
14,25,31,32,39
5,6,32,35,36
6,18,19,22,30
1,6,15,17,20
2,6,15,16,23
3,6,9,10,12
10,22,24,26,34
13,14,17,20,21
13,19,36,37,39
9,26,29,30,34
8,12,35,36,39
6,13,14,17,38
1,8,16,31,35
10,15,24,36,38
1,10,22,27,35
18,24,32,33,39
7,13,17,19,30
4,6,15,17,39
3,8,17,19,21
4,9,19,25,39
5,19,26,28,29
1,5,25,28,38
7,9,13,25,31
2,22,25,28,38
19,20,21,30,37
4,22,32,34,38
1,5,16,36,38
2,5,27,33,36
5,7,10,22,30
7,27,32,35,39
7,18,26,28,30
13,18,24,30,34
4,13,19,20,39
5,19,30,34,36
7,11,17,21,29
8,9,31,32,38
3,6,11,20,29
7,13,14,19,32
24,27,29,30,39
4,11,15,24,25
17,20,21,25,36
14,32,34,36,37
22,23,27,33,35
23,29,31,36,37
18,19,30,34,36
9,10,11,21,27
1,5,8,16,23
6,15,19,33,37
4,13,18,23,31
3,18,21,26,35
7,20,35,37,38
2,9,19,24,25
9,10,17,20,24
11,16,22,32,35
5,13,17,18,21
14,17,19,25,27
1,10,25,31,37
1,9,11,12,20
1,9,14,33,36
2,6,17,26,31
9,15,23,28,29
15,17,30,31,33
11,13,18,31,38
4,11,12,21,22
2,23,24,26,27
2,14,20,25,39
6,7,9,15,22
3,5,8,16,20
16,22,26,32,33
7,12,20,35,39
4,10,19,20,32
1,13,24,27,37
6,10,11,12,29
2,4,9,21,29
8,19,21,27,39
6,16,22,27,38
5,9,13,16,37
2,9,15,23,32
5,7,16,17,28
8,18,32,33,34
16,19,24,26,34
14,21,23,26,37
4,10,12,20,34
9,10,14,22,35
1,3,4,35,36
1,2,6,16,27
14,16,25,34,35
17,20,21,24,26
11,14,24,31,34
19,25,27,32,36
6,10,11,12,23
2,5,30,31,39
16,28,31,38,39
1,7,19,22,39
14,20,21,23,39
10,16,17,20,27
10,22,24,25,26
26,28,30,35,36
5,26,31,32,39
8,15,17,24,39
2,4,9,17,20
3,7,19,26,36
10,24,31,34,38
2,8,11,27,31
4,19,25,30,36
1,8,15,16,30
6,8,22,27,35
6,12,19,29,36
9,11,17,31,32
12,15,22,23,28
10,14,21,29,30
9,10,14,23,39
11,15,19,35,39
3,15,28,34,36
9,12,13,30,37
6,16,23,25,29
1,8,9,14,38
1,13,28,31,37
3,6,9,28,33
4,17,20,23,25
18,21,23,32,36
4,7,17,37,38
11,18,21,24,25
3,5,10,11,27
5,8,13,18,39
2,3,9,12,31
9,14,26,34,39
2,6,32,34,35
9,12,16,23,38
2,4,14,23,36
3,17,21,22,34
4,10,13,35,38
6,21,32,38,39
4,11,14,16,33
13,15,19,28,32
9,21,27,35,37
3,4,20,26,34
4,5,7,20,23
6,22,25,27,28
1,4,27,36,38
24,26,28,29,38
1,4,6,26,31
3,4,8,26,29
6,13,15,19,30
6,7,11,22,32
12,21,22,35,37
5,7,12,26,38
12,16,27,32,39
6,21,26,35,39
12,18,28,30,33
24,26,27,37,39
6,9,22,29,38
1,2,8,16,28
8,14,15,22,28
5,11,23,34,35
15,17,20,22,37
11,16,17,19,34
8,16,19,24,27
12,17,28,32,39
6,25,28,32,38
10,11,14,28,37
1,2,3,6,29
7,12,19,29,36
16,30,31,32,35
8,14,15,16,23
2,8,11,12,15
2,6,10,20,39
6,7,9,22,37
21,23,32,33,38
5,20,22,25,34
4,24,28,32,34
8,13,23,24,28
7,22,25,28,35
3,5,9,16,23
5,11,13,27,39
1,4,10,18,32
1,8,15,24,27
3,4,19,30,31
2,4,5,12,13
9,14,27,31,36
5,7,22,26,31
18,22,27,32,36
10,11,16,22,28
5,11,21,26,29
1,6,11,22,24
7,8,10,11,28
15,16,17,21,34
8,13,34,36,39
4,17,22,23,26
1,13,16,28,37
5,13,19,30,33
1,2,9,29,39
4,14,20,28,33
3,11,32,35,39
3,17,23,27,30
1,3,20,25,32
13,19,28,31,33
5,7,16,27,31
6,7,11,19,24
3,5,6,20,24
6,21,22,25,37
3,18,22,27,38
1,16,23,29,37
5,6,9,29,36
3,7,14,21,26
8,16,18,23,34
8,11,13,15,22
11,13,24,28,37
6,10,12,31,32
2,5,15,26,27
2,4,5,28,30
8,10,15,36,39
9,11,14,19,25
12,14,16,32,33
4,19,24,26,29
16,29,32,38,39
1,5,10,24,31
1,8,15,24,39
3,9,19,25,36
2,4,18,25,38
1,8,17,28,38
3,15,17,18,31
12,20,21,29,38
3,4,10,14,28
2,9,18,19,34
1,2,17,19,23
9,15,19,37,39
13,15,17,21,39
2,11,23,26,36
7,8,15,31,36
10,16,19,28,36
10,16,17,18,30
3,11,15,29,33
2,11,13,25,30
4,20,31,32,34
4,15,21,27,30
10,12,19,31,36
12,17,21,33,37
4,9,10,13,23
6,13,20,31,38
3,12,14,19,22
11,13,18,33,35
5,12,13,15,31
6,16,24,30,35
1,8,10,24,27
7,19,25,33,38
3,6,7,31,32
1,6,14,20,24
11,13,29,31,32
6,8,13,17,23
9,15,22,23,27
19,22,24,28,29
5,15,21,25,27
3,16,26,27,33
4,6,17,22,38
5,8,22,25,28
5,9,12,19,30
21,27,31,34,35
8,13,16,17,39
3,12,15,35,37
11,21,29,33,39
6,28,30,35,38
12,14,15,25,34
12,18,25,27,29
4,5,10,11,15
17,18,22,32,36
10,13,21,32,38
19,25,28,33,36
9,19,20,28,30
2,21,27,34,35
1,3,16,33,35
9,13,14,24,38
10,30,32,34,38
4,17,20,30,38
2,6,14,20,24
9,14,26,27,37
1,4,27,32,39
6,12,21,29,38
2,3,23,31,33
6,7,12,14,27
2,15,16,20,21
2,22,26,32,36
19,21,22,33,37
4,11,17,18,23
3,10,13,28,37
3,19,27,29,32
2,5,13,18,29
6,9,19,24,35
4,5,8,23,28
6,24,26,28,36
3,13,15,21,38
2,5,15,22,39
2,3,14,23,32
2,11,24,37,39
3,12,13,31,33
5,9,13,33,37
9,17,28,34,37
1,11,15,29,36
2,26,27,30,32
3,9,26,29,33
9,33,35,37,38
7,13,28,29,31
1,2,14,27,39
7,22,26,29,35
4,8,32,34,37
7,11,19,27,37
1,21,22,27,39
7,17,20,35,38
11,18,22,37,39
2,16,18,23,36
3,6,19,32,37
1,18,20,25,34
11,13,26,35,39
5,6,9,34,35
8,14,15,28,33
14,26,31,35,39
8,12,23,29,36
7,15,25,29,34
6,21,26,32,34
18,21,22,27,36
2,8,20,37,38
2,7,8,21,32
19,21,29,34,37
5,7,13,34,36
6,10,28,30,37
4,7,12,22,39
11,16,21,38,39
17,25,26,27,35
17,18,25,28,31
6,7,13,23,29
12,14,15,32,35
8,15,22,30,37
7,10,13,14,15
9,14,15,31,32
3,7,20,31,37
14,15,18,27,30
1,5,17,34,35
15,17,31,35,39
5,7,20,28,37
1,18,22,28,31
4,10,12,26,38
11,12,14,25,31
8,9,12,19,35
3,13,18,38,39
8,15,16,31,33
8,19,30,31,34
5,13,28,31,32
5,21,22,25,26
7,14,15,21,32
7,8,14,23,26
7,23,35,36,38
5,9,18,23,24
7,11,18,29,38
9,13,21,26,31
9,22,26,27,28
6,14,20,34,37
3,26,28,30,33
3,6,10,27,36
1,8,11,23,31
2,12,15,19,30
6,18,20,29,31
1,16,20,36,38
7,25,31,32,35
6,8,13,16,39
9,18,21,25,27
3,17,21,23,33
4,14,21,34,39
13,16,20,34,36
8,10,12,19,33
1,18,24,26,34
13,19,20,36,38
3,5,15,30,32
4,12,26,29,31
12,17,29,37,38
4,5,9,15,29
7,17,23,34,35
5,7,9,22,25
6,14,18,22,28
3,7,8,10,28
7,9,18,30,36
1,9,16,30,32
5,7,15,18,35
2,16,26,29,39
1,2,9,17,25
1,6,17,23,37
2,19,25,32,34
3,18,22,24,39
2,13,24,33,34
2,7,10,23,26
3,4,18,26,32
6,12,18,32,33
8,12,19,23,32
1,12,32,33,38
3,6,11,16,18
1,7,12,25,30
5,20,24,28,35
8,9,11,26,34
15,20,28,34,38
7,10,15,19,24
8,12,18,23,28
4,17,27,36,37
6,8,15,30,39
1,15,21,27,33
12,15,16,20,32
20,26,29,33,39
2,5,7,13,36
2,14,15,17,26
1,5,19,28,38
4,12,22,30,35
2,7,12,14,28
2,30,34,35,39
19,24,36,38,39
6,7,20,21,34
1,9,22,26,31
2,4,9,18,20
4,6,14,18,21
1,8,9,24,30
4,26,30,34,37
1,10,20,23,38
1,13,32,36,39
22,23,26,28,29
16,20,23,27,31
10,11,16,29,31
5,8,32,38,39
6,8,10,25,39
2,10,11,18,22
2,8,13,22,29
3,5,18,21,28
18,20,21,29,37
5,10,17,19,22
4,18,34,35,38
2,5,15,21,34
3,7,8,36,39
2,4,7,16,35
16,21,23,31,39
1,10,24,37,39
7,10,22,33,34
7,8,9,21,29
4,12,15,21,24
3,8,14,23,29
9,13,14,23,25
6,7,18,35,38
1,11,13,17,19
15,20,33,34,36
3,15,25,31,35
1,17,19,35,38
8,17,19,35,39
16,17,19,30,35
8,19,23,26,37
6,7,18,35,37
1,5,15,22,23
6,18,26,27,29
6,19,21,25,27
1,4,18,25,32
14,20,32,36,38
1,10,11,17,23
7,13,16,25,35
10,14,18,20,35
3,5,11,14,30
2,12,18,35,37
13,16,28,29,35
4,6,23,31,35
16,19,22,32,37
5,13,14,18,23
3,4,10,15,17
1,14,19,22,37
14,16,24,33,39
2,14,30,32,39
9,13,36,38,39
14,19,23,35,39
4,5,18,24,34
3,12,18,25,30
5,14,20,27,37
5,13,25,29,30
20,30,32,38,39
15,24,27,28,35
1,4,13,22,25
20,21,24,28,36
8,10,13,20,33
2,11,21,31,38
1,7,20,24,39
1,9,15,35,36
5,19,33,37,38
11,28,29,33,36
8,11,22,29,36
14,17,21,32,38
7,17,18,28,38
1,6,13,14,25
21,24,25,26,33
1,5,7,20,22
1,3,6,7,29
2,3,21,24,36
2,6,16,28,37
1,8,29,34,38
6,7,15,35,39
9,11,14,17,34
1,3,12,23,25
10,16,21,30,31
19,22,23,25,34
11,25,32,36,38
13,15,27,31,36
5,19,20,29,30
20,30,33,34,37
9,13,21,26,29
1,6,21,23,28
3,7,9,17,20
20,24,27,35,38
20,21,25,28,33
6,11,23,25,32
4,5,16,18,21
4,21,25,32,36
6,9,10,11,15
5,17,18,28,38
2,19,21,26,37
4,11,13,17,36
5,14,19,35,38
9,13,23,26,28
9,12,16,22,36
1,18,21,22,39
4,5,15,16,32
5,6,7,17,38
7,22,24,25,31
2,9,11,16,32
14,17,22,31,36
14,24,25,26,31
4,11,17,37,38
18,27,28,29,33
13,27,28,30,35
2,26,28,29,32
5,6,21,31,37
3,10,15,21,24
17,24,33,34,35
26,32,34,35,37
10,12,23,24,30
16,17,22,28,33
4,9,19,29,32
11,15,28,29,37
5,8,10,26,39
4,5,23,25,30
13,14,15,28,33
1,3,12,15,34
1,6,7,15,38
14,25,26,31,39
6,10,12,20,32
9,24,29,30,33
4,6,9,15,39
1,13,14,23,29
17,19,24,35,36
3,16,17,31,34
6,10,14,20,25
7,17,23,28,33
1,7,12,17,34
2,24,36,37,38
10,24,26,33,36
6,10,19,35,36
12,15,24,35,37
13,24,29,36,39
2,14,18,37,38
2,6,12,19,31
3,7,13,16,20
3,16,25,30,31
13,17,22,24,26
17,18,20,23,24
4,8,15,26,35
6,31,33,37,39
2,20,28,32,34
13,17,18,23,27
2,7,15,20,33
3,5,14,29,36
2,9,17,30,36
11,13,15,22,37
7,15,18,21,37
2,8,23,24,27
6,9,15,27,38
12,22,23,29,37
8,12,17,19,34
1,7,19,25,26
9,13,16,20,29
5,6,13,14,34
4,10,13,22,36
5,12,17,19,29
2,3,8,16,32
13,15,17,18,23
4,6,18,19,36
1,10,28,30,33
4,20,21,28,34
13,15,23,25,36
4,8,15,23,34
