M Win Num 1,M Win Num 2,M Win Num 3,M Win Num 4,M Win Num 5
2,25,34,35,37
10,18,31,32,34
3,5,7,29,35
9,11,20,25,32
12,15,30,34,39
4,12,15,22,32
4,11,17,26,33
2,9,17,22,25
7,10,15,18,25
2,15,16,18,27
14,18,19,30,37
1,14,21,22,23
13,17,29,30,32
4,7,23,30,33
4,13,22,25,36
1,17,19,20,24
3,6,16,24,38
3,24,36,37,38
1,8,20,26,31
10,17,29,33,37
10,13,23,25,30
13,22,25,29,37
1,3,23,33,38
3,14,28,30,38
2,3,11,14,18
18,29,32,34,39
12,18,27,30,39
7,16,20,27,32
2,8,17,32,37
8,11,25,30,38
3,9,17,28,37
7,26,30,31,39
5,12,28,30,38
6,13,18,31,32
3,12,14,19,25
9,26,30,31,39
1,12,24,26,30
2,9,10,27,29
11,12,13,21,31
3,12,16,20,30
18,22,23,27,30
14,17,23,26,30
7,10,26,31,37
8,21,27,32,34
5,10,12,36,39
23,24,29,30,33
16,21,23,25,29
1,16,19,21,39
5,9,21,23,29
8,26,30,31,35
1,18,20,22,30
6,11,24,28,35
10,14,19,21,22
4,9,14,18,23
12,23,29,36,38
7,11,13,23,30
1,9,12,33,35
14,16,23,25,26
4,13,24,26,31
6,11,15,24,25
8,16,32,37,39
1,3,16,21,23
3,7,14,20,28
7,10,11,35,36
8,10,27,37,38
8,10,27,28,37
6,7,18,30,38
17,19,22,27,28
14,19,28,35,39
6,8,20,30,36
6,15,20,35,37
13,25,33,35,36
2,5,19,26,36
7,14,17,22,32
2,16,18,20,22
2,18,27,37,39
1,12,21,37,39
20,25,26,27,33
20,21,24,28,35
1,14,18,26,30
4,9,20,25,26
2,9,11,13,22
6,12,14,20,38
15,27,28,36,39
1,11,31,33,36
3,4,15,17,35
2,7,19,23,36
13,15,18,22,27
2,10,14,15,35
3,6,8,9,29
5,8,15,23,38
18,21,30,35,36
1,2,14,18,19
8,19,21,27,30
8,10,22,23,28
7,8,13,20,34
6,14,18,25,27
6,24,28,29,30
11,16,22,27,33
4,7,11,19,21
4,8,18,31,36
2,7,15,32,36
3,22,26,38,39
8,18,20,24,34
7,12,17,22,39
4,5,9,20,35
4,9,19,20,33
3,9,15,17,36
6,14,15,24,29
4,13,24,26,37
7,8,19,31,37
9,11,24,28,33
15,23,29,34,38
4,5,14,33,37
3,5,7,17,27
5,12,35,36,38
4,5,18,28,39
2,18,24,27,32
2,26,28,29,38
4,13,25,37,38
2,10,16,23,25
2,3,12,16,20
20,23,26,31,35
2,10,12,18,22
1,10,11,15,34
1,6,25,27,35
1,7,15,29,30
11,13,15,34,37
21,26,32,37,39
6,15,25,37,39
14,20,27,30,31
3,16,21,37,38
10,21,23,29,39
1,16,25,28,34
2,15,26,27,31
10,13,27,29,33
7,11,18,30,35
2,10,11,19,37
1,2,7,12,16
2,10,11,15,24
3,10,11,22,37
5,11,13,25,37
13,17,22,34,36
28,29,32,33,36
3,11,18,24,38
7,10,21,29,39
11,14,20,34,39
3,8,17,33,34
14,16,17,20,39
1,8,20,27,29
1,4,9,12,16
2,3,10,19,27
1,16,30,31,33
6,12,18,31,36
12,14,17,25,28
4,20,29,34,38
6,15,17,26,33
11,12,14,26,32
11,15,16,27,38
5,19,26,28,38
12,20,25,30,31
4,6,7,21,39
1,12,19,20,23
1,28,29,38,39
12,20,35,36,38
6,14,16,19,37
3,6,8,13,19
2,4,10,15,17
13,15,24,31,38
2,4,6,21,31
6,9,33,35,39
9,13,15,16,33
3,4,17,18,32
1,19,21,33,36
15,21,24,30,32
3,15,20,23,29
18,21,24,28,33
9,12,16,19,38
7,14,20,31,36
14,17,25,30,34
1,3,11,15,19
14,15,19,20,28
10,14,16,32,39
11,25,29,34,38
5,6,19,31,33
2,11,14,21,23
6,8,18,21,35
7,13,15,18,20
3,12,18,20,34
2,18,25,37,38
7,20,23,28,32
6,7,11,19,25
18,20,21,30,38
5,10,23,24,29
3,4,11,19,31
18,22,29,31,36
9,10,20,31,34
9,22,24,31,34
1,3,4,15,37
8,10,17,29,33
23,30,32,33,34
3,13,24,27,30
1,9,17,18,36
10,11,17,22,35
1,4,7,17,34
3,28,31,33,39
3,8,9,27,30
21,23,24,30,33
4,11,16,20,23
1,4,30,34,38
2,23,27,35,38
8,19,21,27,33
2,23,25,35,38
2,14,18,25,29
4,19,21,30,38
20,22,27,35,36
3,5,18,27,33
20,32,33,38,39
3,4,11,18,30
11,12,26,31,33
11,17,28,30,35
7,14,15,17,27
14,23,26,29,38
10,18,19,24,39
6,10,25,27,31
18,24,36,38,39
15,20,26,33,36
6,24,26,29,30
9,16,23,32,35
4,9,17,19,30
8,9,12,21,37
15,23,27,29,30
2,9,23,33,38
3,5,8,17,39
13,21,26,30,36
18,19,24,25,31
5,14,15,20,39
5,16,20,22,23
4,9,11,14,16
7,12,17,33,34
24,25,28,33,39
5,12,14,22,27
13,14,16,18,22
13,14,28,30,37
5,9,25,36,37
4,25,26,27,35
11,14,17,19,37
11,19,28,31,32
3,5,9,12,32
15,25,26,31,37
1,4,20,27,32
5,12,15,23,31
4,20,28,38,39
2,10,20,33,34
2,8,20,34,39
3,8,9,23,39
18,19,20,27,38
9,12,20,23,33
5,7,12,19,28
3,16,24,26,29
4,9,22,30,37
8,11,23,26,29
10,11,17,27,34
7,17,18,27,30
1,5,13,20,26
7,8,10,16,27
4,14,18,24,36
3,16,21,23,31
1,8,17,30,39
1,24,26,30,33
14,17,21,23,37
2,11,17,35,39
8,14,27,33,39
4,6,14,23,29
4,5,7,8,23
12,16,18,22,24
2,4,20,34,39
5,6,36,37,38
13,24,30,32,36
3,6,28,33,35
2,5,12,26,32
5,33,35,37,39
5,11,17,18,31
16,24,29,31,34
7,13,17,22,27
4,6,16,21,35
3,7,13,23,39
11,12,23,34,38
2,3,10,13,17
2,4,14,21,22
9,14,24,26,34
4,17,19,27,34
7,13,23,25,28
1,7,9,25,38
7,8,28,32,33
14,23,25,28,32
6,12,16,33,34
2,9,31,36,39
7,8,25,26,31
1,19,26,28,33
9,10,25,35,37
17,22,26,32,34
4,6,12,19,22
7,26,28,31,38
13,14,15,22,39
9,18,24,29,31
4,7,8,20,36
11,15,20,32,34
1,7,10,25,29
15,16,19,28,39
4,6,9,13,26
2,6,16,20,23
5,10,22,27,34
3,9,12,19,22
3,12,19,21,37
4,12,21,22,23
15,16,19,21,23
6,20,21,28,32
8,13,16,17,30
1,7,12,13,37
3,7,16,28,32
1,14,17,35,37
1,6,18,20,34
4,13,30,36,39
5,16,18,28,34
12,21,32,37,38
2,15,24,33,37
22,24,28,33,35
4,18,23,26,38
2,3,14,19,36
2,5,16,33,34
10,12,16,18,25
10,13,14,21,35
1,12,13,19,22
10,18,29,33,37
3,19,25,30,32
5,9,10,25,26
1,5,16,26,35
16,19,30,35,37
2,7,13,14,15
3,6,25,29,36
11,17,18,27,34
2,13,19,26,37
5,6,16,27,39
6,20,28,32,35
2,24,25,26,34
11,16,22,34,36
3,4,7,30,35
3,11,14,26,38
9,14,35,37,38
1,4,17,18,29
3,5,15,27,35
3,23,29,34,36
16,18,25,28,31
2,8,13,17,22
15,21,27,31,34
1,15,21,29,32
6,9,14,19,20
4,14,15,22,38
4,11,22,34,35
10,11,23,30,33
10,12,20,23,32
1,7,17,34,38
2,6,21,27,38
3,15,17,25,26
2,5,9,18,36
9,12,23,36,37
4,12,19,29,30
3,7,9,12,38
9,18,22,37,39
17,19,25,34,39
8,23,24,35,39
3,4,18,23,38
5,9,10,13,29
3,4,14,31,34
5,15,16,19,30
3,8,26,29,35
6,7,12,30,33
8,13,17,33,37
16,27,30,32,38
3,12,26,31,39
11,31,35,36,38
3,9,13,31,39
10,18,22,23,36
8,9,28,34,38
1,19,29,31,33
11,23,27,28,34
1,20,24,25,31
17,20,25,29,34
13,14,16,34,36
6,22,26,29,38
2,15,22,33,36
9,14,15,21,29
6,19,21,23,29
6,15,22,33,34
3,14,19,24,25
27,28,31,36,38
8,9,19,20,23
26,27,31,32,33
5,10,12,19,32
9,12,21,29,36
7,8,27,29,37
2,11,20,28,33
9,12,15,18,39
11,12,13,24,29
10,18,23,27,33
5,10,13,19,31
2,11,13,14,16
3,9,16,19,21
18,21,27,37,38
9,12,14,29,31
2,7,11,35,36
10,13,21,25,38
3,4,13,21,29
14,15,20,21,30
9,17,26,34,39
7,10,13,22,36
10,13,14,22,37
3,4,13,22,33
2,3,16,17,21
1,11,19,35,36
4,9,20,29,30
1,3,7,20,29
1,6,17,20,39
6,10,14,18,36
7,16,19,21,23
4,7,8,16,21
10,18,24,31,37
21,23,30,32,34
16,22,27,37,39
6,10,27,29,31
13,22,23,37,39
9,17,24,30,33
12,13,21,36,39
14,34,35,37,38
3,15,32,37,39
11,24,33,34,36
1,9,11,18,35
2,6,12,18,21
5,9,10,18,19
2,13,32,36,39
3,7,15,17,35
1,18,21,24,28
6,11,17,20,33
8,9,15,16,31
5,15,26,31,32
2,10,19,24,27
1,10,18,27,29
2,8,22,23,36
11,12,15,31,37
3,26,29,30,35
15,17,19,32,38
19,20,21,28,34
4,10,17,22,27
14,15,19,34,35
2,3,17,22,27
2,10,11,12,33
11,19,25,31,39
9,11,26,37,39
10,23,25,29,38
9,20,22,25,37
12,14,21,32,37
4,12,15,18,19
13,18,21,23,38
13,23,24,26,30
8,24,29,30,32
5,8,28,30,31
12,22,23,31,32
6,12,16,29,34
4,5,8,25,35
5,22,27,28,34
2,3,5,6,29
5,21,29,33,39
2,11,12,35,38
7,12,15,22,35
9,13,21,22,23
4,8,18,20,24
6,11,22,25,27
5,11,14,20,30
17,18,21,27,28
7,11,14,16,26
4,7,31,36,39
3,20,21,35,39
15,20,23,26,32
3,8,20,23,32
4,14,24,35,36
7,18,19,22,26
3,21,22,31,34
3,14,23,28,32
4,9,14,21,25
2,11,18,20,23
9,11,19,23,37
5,17,18,24,25
3,6,26,32,37
4,13,26,28,32
7,8,9,11,26
2,5,15,26,35
8,9,17,26,39
16,22,24,33,37
1,3,10,37,38
1,7,11,17,34
10,16,25,33,36
10,24,25,26,34
5,7,18,20,24
14,20,21,22,30
7,10,14,21,26
12,16,18,23,27
27,30,32,37,39
13,17,21,27,37
5,6,20,23,25
3,6,15,22,36
9,16,23,24,27
1,7,13,16,37
5,8,9,32,33
3,9,29,37,38
3,11,12,20,36
2,4,12,15,28
4,14,22,30,32
6,7,20,32,38
12,15,26,28,36
1,2,4,23,26
6,8,18,25,33
17,18,24,29,34
6,18,33,34,35
3,5,8,16,32
9,12,14,21,38
3,23,24,35,39
5,28,31,36,39
6,13,25,36,37
10,24,25,34,36
9,11,20,30,35
1,5,10,22,28
1,4,19,30,39
15,17,24,27,29
5,10,16,29,33
7,20,22,29,36
17,20,23,34,38
5,16,20,23,38
13,21,22,33,35
4,8,17,26,31
9,11,13,22,29
7,10,19,23,33
13,23,33,34,39
8,18,23,33,36
13,15,24,25,38
4,14,15,20,33
4,8,16,17,23
6,24,25,28,34
7,23,27,30,36
4,15,21,25,28
1,3,13,27,39
3,26,31,32,37
4,21,32,36,38
5,8,10,29,33
7,9,20,22,30
7,12,15,24,25
10,13,19,21,39
8,11,33,35,38
11,14,22,30,37
3,11,23,25,31
1,12,19,24,25
9,20,24,37,39
10,17,22,34,39
7,20,22,31,38
20,26,27,29,33
8,9,10,12,17
5,10,31,35,39
13,19,27,28,39
13,21,27,35,39
2,5,6,26,28
12,18,26,29,31
1,3,12,21,25
4,8,11,31,32
5,18,23,26,33
8,14,23,28,38
1,7,9,11,17
4,6,18,26,30
8,14,15,16,38
16,20,22,27,37
2,9,14,35,37
4,11,13,26,30
11,16,19,26,39
3,4,8,23,35
6,9,28,32,33
7,9,24,33,37
7,12,16,26,32
5,9,10,28,30
12,14,33,35,38
3,5,22,27,31
4,18,22,29,39
7,14,15,28,29
7,14,15,21,25
11,14,19,31,37
2,4,8,10,20
2,5,6,15,39
9,10,12,26,38
4,12,14,19,32
3,17,28,29,33
4,13,15,30,35
2,8,13,25,32
6,10,16,20,24
3,7,18,37,39
2,6,12,18,36
2,14,16,23,35
1,3,4,10,35
1,17,18,19,27
6,22,27,38,39
6,7,11,19,38
1,25,37,38,39
17,23,26,28,39
3,12,19,36,39
10,12,21,31,37
15,20,21,27,33
12,13,21,24,31
5,19,29,34,36
1,9,15,30,39
7,12,14,18,37
10,13,14,18,35
7,13,19,35,37
8,16,20,28,29
19,21,30,34,39
9,14,15,27,31
10,22,26,30,33
1,5,8,26,27
7,12,13,16,17
1,2,15,16,39
17,19,22,25,29
2,4,8,11,34
2,5,8,24,28
10,16,26,34,35
7,14,25,30,31
6,16,20,22,29
3,5,15,28,36
5,18,21,27,28
10,11,27,29,35
1,4,11,20,21
4,6,10,18,33
9,19,20,28,38
2,23,30,35,36
6,8,19,25,39
8,15,22,24,32
9,18,23,26,34
12,18,25,26,38
1,10,21,30,37
4,14,20,24,34
1,5,16,20,32
4,8,13,27,33
5,13,14,18,27
2,3,23,27,33
3,6,26,30,35
6,21,33,38,39
1,15,17,18,19
2,4,11,18,35
1,2,4,36,38
8,9,16,38,39
12,20,21,32,35
16,20,22,29,38
24,25,27,32,38
1,7,12,14,22
13,15,16,28,34
13,19,30,34,35
2,7,18,19,33
3,12,30,33,35
4,9,14,17,18
2,3,15,34,35
2,4,10,17,21
3,11,15,16,18
4,8,13,32,38
5,22,27,34,38
11,21,23,31,37
3,7,18,20,30
8,24,32,37,39
3,12,13,16,26
3,8,11,12,18
6,11,24,27,31
8,13,18,23,32
7,20,22,23,35
14,17,18,24,35
4,6,9,25,35
21,24,25,29,32
4,8,9,22,32
6,17,20,23,27
9,12,15,26,33
12,13,14,19,33
12,15,21,28,38
14,22,24,35,38
1,5,8,11,20
11,14,17,25,38
10,16,26,37,38
20,21,25,36,38
7,10,12,31,32
5,11,22,23,30
12,13,25,35,36
5,7,25,27,28
14,15,27,33,36
4,7,12,21,29
14,19,25,26,32
2,16,34,36,37
8,17,26,28,39
12,13,19,23,27
6,9,17,20,31
4,12,31,32,39
2,11,18,26,30
12,15,16,35,36
2,25,26,27,35
3,21,24,27,30
6,17,27,29,32
6,12,23,31,37
3,11,16,18,22
9,16,17,32,35
13,19,34,35,39
1,17,19,24,32
7,28,30,35,37
3,10,11,32,36
2,16,19,23,24
1,3,33,35,39
6,18,20,22,39
15,16,28,31,38
9,17,24,30,31
14,16,31,37,38
3,6,9,32,34
4,6,10,17,37
13,23,33,34,35
2,9,12,14,27
13,14,22,30,33
14,21,25,31,33
2,6,11,16,31
2,5,21,22,34
8,14,17,18,32
17,29,33,34,38
2,18,20,33,35
4,9,29,32,37
8,15,31,36,39
2,4,7,19,29
5,16,17,26,27
11,12,14,22,25
11,12,14,29,35
8,22,26,31,38
4,15,25,37,38
12,16,23,26,28
5,6,18,30,35
6,9,11,12,39
8,10,20,26,34
2,15,16,25,30
3,15,17,23,32
2,3,12,13,28
12,26,32,33,39
6,11,15,18,32
1,9,16,25,30
12,18,25,30,31
25,30,31,37,38
1,6,11,25,38
5,14,19,21,23
3,11,35,37,39
8,15,30,32,36
7,11,14,16,35
2,5,26,29,30
1,10,17,22,23
1,6,9,22,24
6,14,15,19,36
2,5,11,12,32
5,16,17,18,25
1,4,11,20,22
4,5,17,30,35
10,13,16,28,38
1,14,16,17,33
4,20,26,28,37
3,12,18,20,22
10,14,18,19,31
11,20,23,31,39
8,16,17,31,33
5,23,27,37,39
16,21,26,32,33
4,7,15,16,21
18,28,33,35,36
