Draw Date,Win Num 1,Wim Num 2,Win 3,Win 4,Win 5,Win 6,,,,"range 1 to 40, 6 numbers",,,,
6/6/2011,1,2,9,10,11,32,,,,,,,,
6/9/2011,1,11,19,22,27,29,,,,,,,,
6/13/2011,2,6,22,26,34,37,,,,,,,,
6/16/2011,4,12,20,25,28,35,,,,,,,,
6/20/2011,1,2,6,8,9,35,,,,,,,,
6/23/2011,5,10,13,20,34,37,,,,,,,,
6/27/2011,2,12,17,22,23,36,,,,,,,,
6/30/2011,3,4,5,19,21,39,,,,,,,,
7/4/2011,9,11,12,30,38,39,,,,,,,,
7/7/2011,2,4,6,33,37,39,,,,,,,,
7/11/2011,14,17,21,25,30,35,,,,,,,,
7/14/2011,3,14,20,25,29,34,,,,,,,,
7/18/2011,2,10,17,28,29,34,,,,,,,,
7/21/2011,15,18,21,29,37,39,,,,,,,,
7/25/2011,10,13,16,18,23,37,,,,,,,,
7/28/2011,3,7,8,12,23,35,,,,,,,,
8/1/2011,4,5,15,17,26,37,,,,,,,,
8/4/2011,11,13,17,27,28,35,,,,,,,,
8/8/2011,4,12,13,20,34,39,,,,,,,,
8/11/2011,1,3,7,13,20,31,,,,,,,,
8/15/2011,2,15,18,21,29,37,,,,,,,,
8/18/2011,1,21,24,30,37,39,,,,,,,,
8/22/2011,5,10,25,26,30,34,,,,,,,,
8/25/2011,2,21,25,29,36,37,,,,,,,,
8/29/2011,5,6,8,24,27,37,,,,,,,,
9/1/2011,4,9,10,21,22,39,,,,,,,,
9/5/2011,4,10,11,14,35,40,,,,,,,,
9/8/2011,10,28,30,32,35,40,,,,,,,,
9/12/2011,10,11,12,23,34,40,,,,,,,,
9/15/2011,10,13,21,24,29,34,,,,,,,,
9/19/2011,4,11,13,16,18,20,,,,,,,,
9/22/2011,3,5,15,27,34,36,,,,,,,,
9/26/2011,2,6,15,21,32,39,,,,,,,,
9/29/2011,7,10,12,25,35,37,,,,,,,,
10/3/2011,9,25,27,32,38,39,,,,,,,,
10/6/2011,4,12,18,20,23,35,,,,,,,,
10/10/2011,11,17,20,28,32,40,,,,,,,,
10/13/2011,4,17,22,32,36,38,,,,,,,,
10/17/2011,2,12,15,19,26,32,,,,,,,,
10/20/2011,4,5,16,18,23,31,,,,,,,,
10/24/2011,16,20,24,31,32,39,,,,,,,,
10/27/2011,4,15,24,33,35,39,,,,,,,,
10/31/2011,1,3,27,28,38,39,,,,,,,,
11/3/2011,2,5,10,16,27,30,,,,,,,,
11/7/2011,2,6,17,23,35,37,,,,,,,,
11/10/2011,1,11,12,14,31,33,,,,,,,,
11/14/2011,1,2,6,19,22,23,,,,,,,,
11/17/2011,6,12,15,16,21,23,,,,,,,,
11/21/2011,10,18,21,31,35,36,,,,,,,,
11/24/2011,4,7,17,22,26,34,,,,,,,,
11/28/2011,2,5,8,31,37,38,,,,,,,,
12/1/2011,6,9,12,27,39,40,,,,,,,,
12/5/2011,10,17,23,26,33,34,,,,,,,,
12/8/2011,8,13,15,24,30,40,,,,,,,,
12/12/2011,1,3,9,29,30,32,,,,,,,,
12/15/2011,7,9,26,28,30,34,,,,,,,,
12/19/2011,1,4,6,7,15,34,,,,,,,,
12/22/2011,12,13,20,32,35,39,,,,,,,,
12/26/2011,1,5,22,28,30,31,,,,,,,,
12/29/2011,2,3,11,22,23,29,,,,,,,,
1/2/2012,4,11,15,17,21,34,,,,,,,,
1/5/2012,9,15,30,37,38,39,,,,,,,,
1/9/2012,11,23,26,27,35,38,,,,,,,,
1/12/2012,5,11,25,33,37,38,,,,,,,,
1/16/2012,23,32,34,37,38,39,,,,,,,,
1/19/2012,3,11,12,15,25,29,,,,,,,,
1/23/2012,8,16,17,20,31,39,,,,,,,,
1/26/2012,5,11,13,15,24,30,,,,,,,,
1/30/2012,3,11,14,15,22,31,,,,,,,,
2/2/2012,7,24,34,36,39,40,,,,,,,,
2/6/2012,5,14,18,24,30,39,,,,,,,,
2/9/2012,8,10,24,31,32,34,,,,,,,,
2/13/2012,1,8,12,13,17,27,,,,,,,,
2/16/2012,6,10,11,12,27,32,,,,,,,,
2/20/2012,1,3,17,29,33,36,,,,,,,,
2/23/2012,12,14,17,26,27,39,,,,,,,,
2/27/2012,4,5,10,13,20,39,,,,,,,,
3/1/2012,6,10,12,16,20,32,,,,,,,,
3/5/2012,16,18,21,23,25,26,,,,,,,,
3/8/2012,1,12,20,21,24,26,,,,,,,,
3/12/2012,10,19,20,33,34,36,,,,,,,,
3/15/2012,7,8,9,19,27,40,,,,,,,,
3/19/2012,3,8,13,19,23,40,,,,,,,,
3/22/2012,2,13,31,33,38,40,,,,,,,,
3/26/2012,4,8,20,32,36,38,,,,,,,,
3/29/2012,3,4,16,25,35,37,,,,,,,,
4/2/2012,3,8,11,13,20,36,,,,,,,,
4/5/2012,2,5,18,24,38,40,,,,,,,,
4/9/2012,4,18,21,22,25,29,,,,,,,,
4/12/2012,3,17,26,34,36,39,,,,,,,,
4/16/2012,1,7,13,16,25,32,,,,,,,,
4/19/2012,18,19,21,27,33,35,,,,,,,,
4/23/2012,5,7,18,19,30,34,,,,,,,,
4/26/2012,2,7,13,16,23,26,,,,,,,,
4/30/2012,10,12,20,30,35,37,,,,,,,,
5/3/2012,8,11,17,22,24,35,,,,,,,,
5/7/2012,1,3,9,30,32,35,,,,,,,,
5/10/2012,4,5,9,12,16,26,,,,,,,,
5/14/2012,5,13,15,17,20,23,,,,,,,,
5/17/2012,5,17,20,35,37,40,,,,,,,,
5/21/2012,4,7,21,28,31,38,,,,,,,,
5/24/2012,8,19,22,25,31,40,,,,,,,,
5/28/2012,3,4,7,10,13,28,,,,,,,,
5/31/2012,2,7,8,21,24,33,,,,,,,,
6/4/2012,2,6,14,19,20,31,,,,,,,,
6/7/2012,2,14,24,29,36,39,,,,,,,,
6/11/2012,1,11,27,35,37,38,,,,,,,,
6/14/2012,7,16,17,21,30,35,,,,,,,,
6/18/2012,2,6,31,32,36,39,,,,,,,,
6/21/2012,2,3,9,16,22,25,,,,,,,,
6/25/2012,1,5,7,15,19,39,,,,,,,,
6/28/2012,11,13,21,27,33,38,,,,,,,,
7/2/2012,3,11,13,17,22,37,,,,,,,,
7/5/2012,5,16,22,23,26,35,,,,,,,,
7/9/2012,10,14,25,28,35,36,,,,,,,,
7/12/2012,6,17,21,23,25,38,,,,,,,,
7/16/2012,4,6,13,16,29,36,,,,,,,,
7/19/2012,11,24,27,32,35,36,,,,,,,,
7/23/2012,4,16,26,29,30,40,,,,,,,,
7/26/2012,9,11,14,27,34,35,,,,,,,,
7/30/2012,8,18,24,25,37,39,,,,,,,,
8/2/2012,4,5,14,19,29,37,,,,,,,,
8/6/2012,1,5,6,18,25,32,,,,,,,,
8/9/2012,4,19,20,30,37,38,,,,,,,,
8/13/2012,1,2,8,18,21,30,,,,,,,,
8/16/2012,6,16,24,25,32,40,,,,,,,,
8/20/2012,4,10,15,19,21,30,,,,,,,,
8/23/2012,10,17,25,31,33,36,,,,,,,,
8/27/2012,11,15,21,33,34,37,,,,,,,,
8/30/2012,8,10,17,35,38,40,,,,,,,,
9/3/2012,4,8,12,30,33,35,,,,,,,,
9/6/2012,7,17,19,24,29,39,,,,,,,,
9/10/2012,3,7,9,17,18,30,,,,,,,,
9/13/2012,3,5,8,12,17,29,,,,,,,,
9/17/2012,9,17,20,27,28,37,,,,,,,,
9/20/2012,1,3,11,20,28,32,,,,,,,,
9/24/2012,7,17,26,27,33,38,,,,,,,,
9/27/2012,3,6,14,26,31,33,,,,,,,,
10/1/2012,9,11,22,32,39,40,,,,,,,,
10/4/2012,5,20,27,31,37,38,,,,,,,,
10/8/2012,1,6,15,19,22,37,,,,,,,,
10/11/2012,3,6,13,19,32,37,,,,,,,,
10/15/2012,6,31,32,37,38,40,,,,,,,,
10/18/2012,1,6,8,20,22,23,,,,,,,,
10/22/2012,9,10,17,29,39,40,,,,,,,,
10/25/2012,14,18,25,28,30,35,,,,,,,,
10/29/2012,13,23,29,30,33,40,,,,,,,,
11/1/2012,1,3,4,5,6,36,,,,,,,,
11/5/2012,4,8,13,16,32,38,,,,,,,,
11/8/2012,2,8,18,19,33,34,,,,,,,,
11/12/2012,17,27,28,29,37,39,,,,,,,,
11/15/2012,1,7,8,13,14,16,,,,,,,,
11/19/2012,2,14,16,25,30,32,,,,,,,,
11/22/2012,1,10,22,25,31,39,,,,,,,,
11/26/2012,4,6,19,23,24,37,,,,,,,,
11/29/2012,13,16,25,27,31,40,,,,,,,,
12/3/2012,3,5,15,18,23,36,,,,,,,,
12/6/2012,4,5,22,28,31,38,,,,,,,,
12/10/2012,4,6,19,20,28,29,,,,,,,,
12/13/2012,6,7,12,29,37,38,,,,,,,,
12/17/2012,3,14,17,29,30,31,,,,,,,,
12/20/2012,7,11,18,28,37,39,,,,,,,,
12/24/2012,3,15,35,36,38,40,,,,,,,,
12/27/2012,4,24,28,29,38,39,,,,,,,,
12/31/2012,2,10,20,27,31,34,,,,,,,,
1/3/2013,18,21,35,36,37,40,,,,,,,,
1/7/2013,6,9,10,11,30,39,,,,,,,,
1/10/2013,2,3,4,12,23,28,,,,,,,,
1/14/2013,1,3,10,11,37,39,,,,,,,,
1/17/2013,1,13,16,24,27,40,,,,,,,,
1/21/2013,1,5,14,15,21,36,,,,,,,,
1/24/2013,9,14,25,35,39,40,,,,,,,,
1/28/2013,2,12,25,26,31,37,,,,,,,,
1/31/2013,12,16,20,21,23,25,,,,,,,,
2/4/2013,6,10,11,21,23,29,,,,,,,,
2/7/2013,12,14,18,25,30,32,,,,,,,,
2/11/2013,12,18,21,26,27,28,,,,,,,,
2/14/2013,3,15,22,26,30,38,,,,,,,,
2/18/2013,4,14,17,26,38,40,,,,,,,,
2/21/2013,2,3,13,28,35,37,,,,,,,,
2/25/2013,3,15,32,36,37,39,,,,,,,,
2/28/2013,13,16,17,18,23,36,,,,,,,,
3/4/2013,7,14,16,18,31,40,,,,,,,,
3/7/2013,4,7,9,16,24,33,,,,,,,,
3/11/2013,10,12,16,23,29,31,,,,,,,,
3/14/2013,1,8,20,29,36,40,,,,,,,,
3/18/2013,10,15,16,25,37,38,,,,,,,,
3/21/2013,4,9,20,22,29,38,,,,,,,,
3/25/2013,11,14,23,26,33,39,,,,,,,,
3/28/2013,4,6,10,18,30,36,,,,,,,,
4/1/2013,6,10,21,27,28,39,,,,,,,,
4/4/2013,11,19,21,23,24,27,,,,,,,,
4/8/2013,11,12,17,25,28,35,,,,,,,,
4/11/2013,6,8,14,17,24,31,,,,,,,,
4/15/2013,2,6,14,17,26,33,,,,,,,,
4/18/2013,11,13,24,28,38,39,,,,,,,,
4/22/2013,6,9,16,28,32,40,,,,,,,,
4/25/2013,5,9,13,25,33,40,,,,,,,,
4/29/2013,1,5,8,10,15,30,,,,,,,,
5/2/2013,3,4,5,7,23,34,,,,,,,,
5/6/2013,11,17,22,26,35,40,,,,,,,,
5/9/2013,3,10,19,23,24,32,,,,,,,,
5/13/2013,4,6,10,23,34,35,,,,,,,,
5/16/2013,1,7,14,17,38,40,,,,,,,,
5/20/2013,2,3,15,18,21,29,,,,,,,,
5/23/2013,10,11,13,23,38,40,,,,,,,,
5/27/2013,6,10,18,23,35,36,,,,,,,,
5/30/2013,6,16,22,28,39,40,,,,,,,,
6/3/2013,1,7,14,17,22,32,,,,,,,,
6/6/2013,8,12,16,26,31,37,,,,,,,,
6/10/2013,2,9,29,34,37,39,,,,,,,,
6/13/2013,7,14,18,28,31,34,,,,,,,,
6/17/2013,4,7,11,17,32,40,,,,,,,,
6/20/2013,7,16,17,32,39,40,,,,,,,,
6/24/2013,10,15,26,33,37,40,,,,,,,,
6/27/2013,1,3,9,13,23,40,,,,,,,,
7/1/2013,2,3,11,23,24,29,,,,,,,,
7/4/2013,3,6,18,20,26,36,,,,,,,,
7/8/2013,18,19,24,25,35,39,,,,,,,,
7/11/2013,3,6,14,18,28,37,,,,,,,,
7/15/2013,11,16,26,28,38,39,,,,,,,,
7/18/2013,2,6,21,23,33,34,,,,,,,,
7/22/2013,2,16,24,26,32,33,,,,,,,,
7/25/2013,2,6,10,17,26,35,,,,,,,,
7/29/2013,2,6,19,22,25,30,,,,,,,,
8/1/2013,21,22,29,32,34,37,,,,,,,,
8/8/2013,1,8,11,12,19,25,,,,,,,,
8/5/2013,1,5,8,12,22,25,,,,,,,,
8/15/2013,5,11,12,13,27,38,,,,,,,,
8/19/2013,3,8,10,19,23,27,,,,,,,,
8/22/2013,2,4,11,26,31,35,,,,,,,,
8/26/2013,11,15,16,18,25,32,,,,,,,,
8/29/2013,1,9,16,18,25,30,,,,,,,,
9/2/2013,2,3,4,29,38,39,,,,,,,,
8/12/2013,8,10,16,18,25,37,,,,,,,,
9/5/2013,14,27,32,34,38,39,,,,,,,,
9/9/2013,5,9,13,14,31,39,,,,,,,,
9/12/2013,13,22,34,35,36,40,,,,,,,,
9/16/2013,8,14,18,25,26,31,,,,,,,,
9/19/2013,5,12,14,25,29,34,,,,,,,,
9/23/2013,5,8,9,11,33,38,,,,,,,,
9/26/2013,1,14,17,19,30,39,,,,,,,,
9/30/2013,15,17,23,26,32,33,,,,,,,,
10/3/2013,4,7,8,17,21,32,,,,,,,,
10/7/2013,1,18,19,28,34,35,,,,,,,,
10/10/2013,13,20,24,26,28,29,,,,,,,,
10/14/2013,2,4,17,18,31,40,,,,,,,,
10/17/2013,12,23,26,29,31,39,,,,,,,,
10/21/2013,4,26,34,35,37,40,,,,,,,,
10/24/2013,8,30,32,35,37,40,,,,,,,,
10/28/2013,5,7,14,18,23,25,,,,,,,,
10/31/2013,16,24,31,32,37,38,,,,,,,,
11/4/2013,3,14,24,26,28,30,,,,,,,,
11/7/2013,13,15,20,28,35,37,,,,,,,,
11/11/2013,7,9,21,27,32,33,,,,,,,,
11/14/2013,1,10,14,20,25,40,,,,,,,,
11/18/2013,2,11,12,17,29,38,,,,,,,,
11/21/2013,11,17,30,33,36,38,,,,,,,,
11/25/2013,1,6,29,33,34,39,,,,,,,,
11/28/2013,2,6,26,30,35,38,,,,,,,,
12/2/2013,8,17,19,34,35,36,,,,,,,,
12/5/2013,3,13,19,20,38,39,,,,,,,,
12/9/2013,5,13,22,24,27,32,,,,,,,,
12/12/2013,1,8,11,14,22,32,,,,,,,,
12/16/2013,8,10,15,22,32,37,,,,,,,,
12/19/2013,14,15,22,25,30,40,,,,,,,,
12/23/2013,1,4,23,28,30,32,,,,,,,,
12/26/2013,2,9,10,20,24,36,,,,,,,,
12/30/2013,1,12,15,19,22,24,,,,,,,,
1/2/2014,8,15,30,31,33,37,,,,,,,,
1/6/2014,9,11,16,18,29,33,,,,,,,,
1/9/2014,1,5,7,19,22,23,,,,,,,,
1/13/2014,3,5,7,14,18,25,,,,,,,,
1/16/2014,12,26,29,37,39,40,,,,,,,,
1/20/2014,6,15,23,28,36,38,,,,,,,,
1/23/2014,4,8,16,32,33,34,,,,,,,,
1/27/2014,4,20,21,32,34,37,,,,,,,,
1/30/2014,8,13,18,21,22,26,,,,,,,,
2/3/2014,5,6,19,23,24,33,,,,,,,,
2/6/2014,1,4,10,14,23,39,,,,,,,,
2/10/2014,7,16,17,35,37,39,,,,,,,,
2/13/2014,8,20,22,27,31,33,,,,,,,,
2/17/2014,1,3,9,12,17,22,,,,,,,,
2/20/2014,14,22,24,29,36,39,,,,,,,,
2/24/2014,5,9,11,13,16,23,,,,,,,,
2/27/2014,5,12,19,20,33,38,,,,,,,,
3/3/2014,4,11,17,19,20,38,,,,,,,,
3/6/2014,4,11,24,37,39,40,,,,,,,,
3/10/2014,1,6,8,20,22,25,,,,,,,,
3/13/2014,5,15,21,23,31,32,,,,,,,,
3/17/2014,1,9,15,24,33,36,,,,,,,,
3/20/2014,6,18,23,24,29,40,,,,,,,,
3/24/2014,1,12,13,14,20,40,,,,,,,,
3/27/2014,1,12,14,25,28,34,,,,,,,,
3/31/2014,8,10,14,17,23,34,,,,,,,,
4/3/2014,4,10,15,32,38,40,,,,,,,,
4/7/2014,15,19,26,33,37,39,,,,,,,,
4/10/2014,4,9,26,31,33,34,,,,,,,,
4/14/2014,4,8,13,19,24,38,,,,,,,,
4/17/2014,5,8,25,36,37,39,,,,,,,,
4/21/2014,14,16,19,26,31,36,,,,,,,,
4/24/2014,4,8,11,19,24,30,,,,,,,,
4/28/2014,15,17,20,29,30,38,,,,,,,,
5/1/2014,2,5,20,22,24,33,,,,,,,,
5/5/2014,9,10,18,26,33,37,,,,,,,,
5/8/2014,1,6,11,18,27,34,,,,,,,,
5/12/2014,3,17,18,22,31,39,,,,,,,,
5/15/2014,1,5,8,11,14,15,,,,,,,,
5/19/2014,6,11,19,20,28,40,,,,,,,,
5/22/2014,9,11,15,18,22,23,,,,,,,,
5/26/2014,4,5,9,19,22,39,,,,,,,,
5/29/2014,1,9,25,26,34,37,,,,,,,,
6/2/2014,5,7,11,15,16,19,,,,,,,,
6/5/2014,11,15,20,24,36,38,,,,,,,,
6/9/2014,8,9,13,16,21,26,,,,,,,,
6/12/2014,10,12,18,20,25,27,,,,,,,,
